,hiddenLayerOne,learnRate,hiddenLayerTwo,hiddenLayerThree,hiddenLayerFour,hiddenLayerFive,hiddenLayerSix,hiddenLayerSeven,hiddenLayerEight,dropout,epochs,batchs,regul,accuracy,AUC,recall,precision,F1,meanRec,meanAcc,meanPrec,meanAUC,meanF1
58,2,0.004,4,5,4,5,4,5,2,0.0,20,16,0.0,[0.80000001 0.77777779 0.62222224 0.78888893 0.71910113],[0.5        0.84880054 0.5        0.85394382 0.79748988],[0.         0.95833337 0.         1.         0.90909094],[0.         0.54761904 0.         0.53658539 0.46511626],[0.         0.6969697  0.         0.6984127  0.61538462],0.5734848618507385,0.7415980219841003,0.30986413955688474,0.7000468492507934,0.4021534021534022
37,2,0.007,4,4,4,4,4,4,2,0.1,10,32,0.0,[0.80000001 0.73333335 0.72222227 0.77777779 0.66292137],[0.5        0.5        0.77678567 0.8101604  0.84871095],[0.         0.         0.7647059  0.77272731 1.        ],[0.         0.         0.60465115 0.53125    0.42307693],[0.         0.         0.67532468 0.62962963 0.59459459],0.5074866414070129,0.7392509579658508,0.31179561614990237,0.687131404876709,0.37990977990977987
8,2,0.004,5,4,5,4,5,4,2,0.0,10,16,0.0,[0.81111115 0.73333335 0.62222224 0.75555557 0.75280899],[0.8063271  0.5        0.5        0.5        0.82089555],[0.72222221 0.         0.         0.         0.81818187],[0.51999998 0.         0.         0.         0.5       ],[0.60465116 0.         0.         0.         0.62068966],0.3080808162689209,0.7350062608718873,0.20399999618530273,0.6254445314407349,0.24506816359262226
85,3,0.007,5,5,5,5,5,5,3,0.1,10,32,0.0,[0.78888893 0.73333335 0.55555558 0.78888893 0.77528089],[0.83179009 0.5        0.51260507 0.87566847 0.85956573],[0.77777779 0.         0.41176471 0.90909094 0.90909094],[0.48275861 0.         0.41176471 0.54054058 0.52631581],[0.59574468 0.         0.41176471 0.6779661  0.66666667],0.60154487490654,0.7283895373344421,0.39227594137191774,0.7159258723258972,0.47042843101899967
75,3,0.004,5,4,5,4,5,4,3,0.0,20,32,0.0,[0.86666667 0.26666668 0.80000001 0.84444445 0.75280899],[0.88117284 0.5        0.85399151 0.85360968 0.82293087],[0.72222221 1.         0.7647059  0.72727275 0.72727275],[0.65000004 0.26666668 0.72222221 0.66666669 0.5       ],[0.68421053 0.42105263 0.74285714 0.69565217 0.59259259],0.7882947206497193,0.7061173617839813,0.5611111223697662,0.7823409795761108,0.6272730134515031
29,2,0.004,5,5,5,5,5,5,2,0.1,10,32,0.0,[0.64444447 0.73333335 0.75555557 0.71111113 0.68539327],[0.75462961 0.5        0.81039912 0.8098262  0.79104483],[0.8888889  0.         0.79411763 0.9545455  1.        ],[0.34782609 0.         0.64285713 0.45652175 0.44      ],[0.5        0.         0.71052632 0.61764706 0.61111111],0.727510404586792,0.7059675574302673,0.377440994977951,0.7331799507141114,0.48785689714482283
106,3,0.004,4,4,4,4,4,4,3,0.0,20,16,0.0,[0.80000001 0.82222223 0.77777779 0.24444444 0.8202247 ],[0.5        0.86426771 0.82195371 0.5        0.87516963],[0.         0.95833337 0.82352942 1.         1.        ],[0.         0.60526317 0.66666669 0.24444444 0.57894737],[0.         0.74193548 0.73684211 0.39285714 0.73333333],0.7563725590705872,0.6929338365793228,0.4190643340349197,0.7122782111167908,0.5209936130649203
3,2,0.007,5,4,5,4,5,4,2,0.0,20,32,0.0,[0.80000001 0.26666668 0.80000001 0.77777779 0.7977528 ],[0.5        0.5        0.82720584 0.86764717 0.87890095],[0.         1.         0.85294116 1.         0.9545455 ],[0.         0.26666668 0.69047618 0.52380955 0.55263156],[0.         0.42105263 0.76315789 0.6875     0.7       ],0.7614973306655883,0.6884394586086273,0.40671679377555847,0.7147507905960083,0.514342105263158
26,2,0.004,5,5,5,5,5,5,2,0.0,20,16,0.0,[0.80000001 0.26666668 0.77777779 0.83333337 0.75280899],[0.5        0.5        0.80987394 0.89171124 0.81004071],[0.         1.         0.85294116 0.9545455  0.86363637],[0.         0.26666668 0.65909094 0.60000002 0.5       ],[0.         0.42105263 0.74358974 0.73684211 0.63333333],0.7342246055603028,0.6861173689365387,0.4051515281200409,0.7023251771926879,0.5069635627530364
92,3,0.004,5,5,5,5,5,5,3,0.1,10,16,0.0,[0.83333337 0.26666668 0.76666671 0.82222223 0.74157304],[0.90509254 0.5        0.8017332  0.88870323 0.82835817],[0.66666669 1.         0.85294116 0.72727275 1.        ],[0.5714286  0.26666668 0.64444447 0.61538464 0.48888889],[0.61538462 0.42105263 0.73417722 0.66666667 0.65671642],0.849376118183136,0.6860924065113068,0.517362654209137,0.7847774267196655,0.61879950934611
59,2,0.004,4,5,4,5,4,5,2,0.0,20,32,0.0,[0.80000001 0.26666668 0.76666671 0.78888893 0.7977528 ],[0.5        0.5        0.81039912 0.82386363 0.87313437],[0.         1.         0.7352941  0.81818187 1.        ],[0.         0.26666668 0.67567569 0.54545456 0.55000001],[0.         0.42105263 0.70422535 0.65454545 0.70967742],0.7106951951980591,0.6839950263500214,0.4075593888759613,0.7014794230461121,0.4979001715183834
27,2,0.004,5,5,5,5,5,5,2,0.0,20,32,0.0,[0.80000001 0.26666668 0.77777779 0.77777779 0.7977528 ],[0.5        0.5        0.8061974  0.80514699 0.84396201],[0.         1.         0.88235295 0.81818187 0.86363637],[0.         0.26666668 0.65217394 0.52941179 0.55882353],[0.         0.42105263 0.75       0.64285714 0.67857143],0.7128342390060425,0.6839950144290924,0.4014151871204376,0.691061282157898,0.49849624060150377
61,2,0.004,4,5,4,5,4,5,2,0.1,10,32,0.0,[0.56666666 0.73333335 0.62222224 0.73333335 0.76404494],[0.70563269 0.5        0.5        0.82352942 0.88297147],[0.94444448 0.         0.         1.         0.9545455 ],[0.30909094 0.         0.         0.47826087 0.51219517],[0.46575342 0.         0.         0.64705882 0.66666667],0.5797979950904846,0.6839201092720032,0.2599093973636627,0.6824267148971558,0.35589578297072255
120,3,0.004,4,5,4,5,4,5,3,0.0,10,16,0.0,[0.2        0.80000001 0.75555557 0.87777781 0.76404494],[0.5        0.88036615 0.79700631 0.87399739 0.84294444],[1.         0.95833337 0.70588237 0.81818187 0.90909094],[0.2        0.57499999 0.66666669 0.71999997 0.51282054],[0.33333333 0.71875    0.68571429 0.76595745 0.6557377 ],0.8782977104187012,0.6794756680727005,0.5348974376916885,0.7788628578186035,0.6318985541548325
90,3,0.004,5,5,5,5,5,5,3,0.0,20,16,0.0,[0.82222223 0.26666668 0.77777779 0.80000001 0.71910113],[0.72453701 0.5        0.80488449 0.80414438 0.80732703],[0.5        1.         0.7352941  0.77272731 0.90909094],[0.5625     0.26666668 0.69444448 0.56666672 0.46511626],[0.52941176 0.42105263 0.71428571 0.65384615 0.61538462],0.7834224700927734,0.6771535694599151,0.511078828573227,0.7281785845756531,0.5867961759602627
10,2,0.004,5,4,5,4,5,4,2,0.0,20,16,0.0,[0.80000001 0.80000001 0.73333335 0.80000001 0.24719101],[0.5        0.844697   0.75630248 0.83856952 0.5       ],[0.         0.875      0.82352942 0.90909094 1.        ],[0.         0.58333331 0.60869569 0.55555558 0.24719101],[0.         0.7        0.7        0.68965517 0.3963964 ],0.7215240716934204,0.6761048793792724,0.39895511865615846,0.6879137992858887,0.4972103137620379
86,3,0.007,5,5,5,5,5,5,3,0.1,20,16,0.0,[0.84444445 0.8888889  0.62222224 0.24444444 0.75280899],[0.86921293 0.90435606 0.5        0.5        0.86804616],[0.72222221 0.91666669 0.         1.         0.90909094],[0.59090912 0.73333335 0.         0.24444444 0.5       ],[0.65       0.81481481 0.         0.39285714 0.64516129],0.7095959663391114,0.6705618053674698,0.4137373834848404,0.7283230304718018,0.5005666495989076
14,2,0.004,5,4,5,4,5,4,2,0.1,20,16,0.0,[0.2        0.87777781 0.73333335 0.81111115 0.73033708],[0.5        0.9255051  0.76759452 0.87700534 0.81682491],[1.         0.95833337 0.61764705 0.86363637 0.86363637],[0.2        0.69696975 0.65625    0.57575762 0.47499999],[0.33333333 0.80701754 0.63636364 0.69090909 0.61290323],0.860650634765625,0.6705118805170059,0.5207954734563828,0.7773859739303589,0.6161053660544323
19,2,0.007,5,5,5,5,5,5,2,0.0,20,32,0.0,[0.86666667 0.26666668 0.62222224 0.78888893 0.78651685],[0.85455239 0.5        0.5        0.8602941  0.90434194],[0.77777779 1.         0.         1.         0.9545455 ],[0.63636363 0.26666668 0.         0.53658539 0.53846157],[0.7        0.42105263 0.         0.6984127  0.68852459],0.7464646577835083,0.6661922752857208,0.3956154525279999,0.7238376855850219,0.5015979840311161
9,2,0.004,5,4,5,4,5,4,2,0.0,10,32,0.0,[0.2        0.83333337 0.76666671 0.75555557 0.77528089],[0.5        0.92013896 0.81407559 0.5        0.86227953],[1.         0.95833337 0.7647059  0.         0.90909094],[0.2        0.62162161 0.66666669 0.         0.52631581],[0.33333333 0.75409836 0.71232877 0.         0.66666667],0.7264260411262512,0.6661673098802566,0.4029208213090897,0.7192988157272339,0.4932854255558051
99,3,0.007,4,4,4,4,4,4,3,0.0,20,32,0.0,[0.85555559 0.26666668 0.74444449 0.73333335 0.73033708],[0.74845684 0.5        0.75315124 0.81417114 0.75067842],[0.55555558 1.         0.64705884 0.9545455  0.63636363],[0.66666669 0.26666668 0.66666669 0.47727275 0.4666667 ],[0.60606061 0.42105263 0.65671642 0.63636364 0.53846154],0.7587047100067139,0.6660674393177033,0.5087879002094269,0.7132915258407593,0.5717309660750353
21,2,0.007,5,5,5,5,5,5,2,0.1,10,32,0.0,[0.2        0.73333335 0.77777779 0.81111115 0.7977528 ],[0.5        0.84090912 0.80068284 0.86062837 0.7710312 ],[1.         1.         0.88235295 0.9545455  0.77272731],[0.2        0.5        0.65217394 0.56756759 0.56666672],[0.33333333 0.66666667 0.75       0.71186441 0.65384615],0.921925151348114,0.6639950186014175,0.4972816497087479,0.7546503067016601,0.6231421121251629
23,2,0.007,5,5,5,5,5,5,2,0.1,20,32,0.0,[0.76666671 0.26666668 0.76666671 0.75555557 0.75280899],[0.83487654 0.5        0.80856085 0.82219255 0.83582091],[0.83333331 1.         0.85294116 0.9545455  1.        ],[0.45454547 0.26666668 0.64444447 0.5        0.5       ],[0.58823529 0.42105263 0.73417722 0.65625    0.66666667],0.9281639933586121,0.6616729319095611,0.4731313228607178,0.7602901697158814,0.6132763615106269
42,2,0.004,4,4,4,4,4,4,2,0.0,20,16,0.0,[0.80000001 0.83333337 0.62222224 0.24444444 0.76404494],[0.5        0.89520204 0.5        0.5        0.8497287 ],[0.         0.95833337 0.         1.         0.90909094],[0.         0.62162161 0.         0.24444444 0.51282054],[0.         0.75409836 0.         0.39285714 0.6557377 ],0.5734848618507385,0.652809002995491,0.2757773190736771,0.6489861488342286,0.3605386416861826
104,3,0.004,4,4,4,4,4,4,3,0.0,10,16,0.0,[0.2        0.86666667 0.62222224 0.74444449 0.8202247 ],[0.5        0.87626266 0.5        0.81417114 0.90875161],[1.         0.79166669 0.         0.90909094 0.9545455 ],[0.2        0.73076928 0.         0.48780489 0.58333331],[0.33333333 0.76       0.         0.63492063 0.72413793],0.7310606241226196,0.6507116228342056,0.4003814965486526,0.7198370814323425,0.49047837985769016
5,2,0.007,5,4,5,4,5,4,2,0.1,10,32,0.0,[0.2        0.78888893 0.71111113 0.76666671 0.75280899],[0.5        0.88068187 0.7615546  0.81818187 0.5       ],[1.         0.95833337 0.91176468 0.86363637 0.        ],[0.2        0.56097561 0.57407409 0.51351351 0.        ],[0.33333333 0.70769231 0.70454545 0.6440678  0.        ],0.7467468857765198,0.6438951522111893,0.3697126418352127,0.6920836687088012,0.477927778436253
73,3,0.004,5,4,5,4,5,4,3,0.0,10,32,0.0,[0.2        0.78888893 0.75555557 0.71111113 0.74157304],[0.5        0.84943181 0.79411757 0.82754016 0.80189961],[1.         0.91666669 0.88235295 0.72727275 0.90909094],[0.2        0.56410259 0.625      0.44444445 0.48780489],[0.33333333 0.6984127  0.73170732 0.55172414 0.63492063],0.8870766639709473,0.6394257336854935,0.46427038609981536,0.7545978307724,0.5900196243341743
49,2,0.007,4,5,4,5,4,5,2,0.0,10,32,0.0,[0.2        0.73333335 0.74444449 0.75555557 0.75280899],[0.5       0.5       0.7704832 0.5       0.5      ],[1.         0.         0.64705884 0.         0.        ],[0.2        0.         0.66666669 0.         0.        ],[0.33333333 0.         0.65671642 0.         0.        ],0.32941176891326907,0.6372284799814224,0.17333333790302277,0.5540966391563416,0.19800995024875623
45,2,0.004,4,4,4,4,4,4,2,0.1,10,32,0.0,[0.2        0.73333335 0.77777779 0.75555557 0.70786518],[0.5        0.5        0.80724788 0.5        0.8015604 ],[1.         0.         0.94117647 0.         0.90909094],[0.2        0.         0.63999999 0.         0.45454547],[0.33333333 0.         0.76190476 0.         0.60606061],0.5700534820556641,0.6349063783884048,0.25890909135341644,0.6217616558074951,0.34025974025974026
40,2,0.004,4,4,4,4,4,4,2,0.0,10,16,0.0,[0.2        0.83333337 0.62222224 0.75555557 0.75280899],[0.5        0.92297983 0.5        0.5        0.5       ],[1.         0.95833337 0.         0.         0.        ],[0.2        0.62162161 0.         0.         0.        ],[0.33333333 0.75409836 0.         0.         0.        ],0.39166667461395266,0.6327840358018875,0.16432432234287261,0.5845959663391114,0.21748633879781423
41,2,0.004,4,4,4,4,4,4,2,0.0,10,32,0.0,[0.2        0.73333335 0.75555557 0.75555557 0.71910113],[0.5        0.5        0.78755254 0.5        0.86736774],[1.        0.        0.7647059 0.        1.       ],[0.2        0.         0.65000004 0.         0.46808514],[0.33333333 0.         0.7027027  0.         0.63768116],0.5529411792755127,0.6327091246843338,0.2636170357465744,0.6309840559959412,0.33474343909126525
24,2,0.004,5,5,5,5,5,5,2,0.0,10,16,0.0,[0.2        0.81111115 0.62222224 0.75555557 0.75280899],[0.5        0.88636363 0.5        0.5        0.5       ],[1. 1. 0. 0. 0.],[0.2        0.58536589 0.         0.         0.        ],[0.33333333 0.73846154 0.         0.         0.        ],0.4,0.6283395916223526,0.15707317888736724,0.5772727251052856,0.21435897435897436
13,2,0.004,5,4,5,4,5,4,2,0.1,10,32,0.0,[0.2        0.73333335 0.69999999 0.73333335 0.76404494],[0.5        0.5        0.79621851 0.77306145 0.79748982],[1.         0.         0.82352942 0.86363637 0.77272731],[0.2        0.         0.57142854 0.47499999 0.5151515 ],[0.33333333 0.         0.6746988  0.61290323 0.61818182],0.6919786214828492,0.6261423259973526,0.3523160070180893,0.6733539581298829,0.4478234345004652
96,3,0.007,4,4,4,4,4,4,3,0.0,10,16,0.0,[0.2        0.71111113 0.76666671 0.75555557 0.69662923],[0.5        0.77335864 0.7959559  0.5        0.73846674],[1.         0.91666669 0.7352941  0.         0.86363637],[0.2        0.47826087 0.67567569 0.         0.44186047],[0.33333333 0.62857143 0.70422535 0.         0.58461538],0.703119432926178,0.6259925276041031,0.3591594070196152,0.6615562558174133,0.4501490997265646
48,2,0.007,4,5,4,5,4,5,2,0.0,10,16,0.0,[0.2        0.73333335 0.62222224 0.78888893 0.74157304],[0.5        0.5        0.5        0.85828876 0.87381285],[1.         0.         0.         0.90909094 0.81818187],[0.2        0.         0.         0.54054058 0.48648649],[0.33333333 0.         0.         0.6779661  0.61016949],0.5454545617103577,0.6172035127878189,0.2454054147005081,0.6464203238487244,0.3242937853107345
1,2,0.007,5,4,5,4,5,4,2,0.0,10,32,0.0,[0.2        0.73333335 0.62222224 0.75555557 0.75280899],[0.5 0.5 0.5 0.5 0.5],[1. 0. 0. 0. 0.],[0.2 0.  0.  0.  0. ],[0.33333333 0.         0.         0.         0.        ],0.2,0.612784031033516,0.04000000059604645,0.5,0.06666666666666668
98,3,0.007,4,4,4,4,4,4,3,0.0,20,16,0.0,[0.80000001 0.26666668 0.75555557 0.84444445 0.24719101],[0.5        0.5        0.83193278 0.88068187 0.5       ],[0.         1.         0.7352941  0.86363637 1.        ],[0.         0.26666668 0.65789473 0.63333338 0.24719101],[0.         0.42105263 0.69444444 0.73076923 0.3963964 ],0.7197860956192017,0.5827715456485748,0.36101716160774233,0.642522931098938,0.44853254063780384
50,2,0.007,4,5,4,5,4,5,2,0.0,20,16,0.0,[0.80000001 0.26666668 0.81111115 0.76666671 0.24719101],[0.5        0.5        0.84952724 0.83455884 0.5       ],[0.         1.         0.79411763 0.86363637 1.        ],[0.         0.26666668 0.72972977 0.51351351 0.24719101],[0.         0.42105263 0.76056338 0.6440678  0.3963964 ],0.7315508008003235,0.5783271133899689,0.35142019391059875,0.636817216873169,0.4444160409734407
123,3,0.004,4,5,4,5,4,5,3,0.0,20,32,0.0,[0.85555559 0.26666668 0.78888893 0.24444444 0.73033708],[0.75540125 0.5        0.81591386 0.5        0.81953871],[0.55555558 1.         0.82352942 1.         0.86363637],[0.66666669 0.26666668 0.68292683 0.24444444 0.47499999],[0.60606061 0.42105263 0.74666667 0.39285714 0.61290323],0.8485442757606506,0.5771785467863083,0.46714092791080475,0.6781707644462586,0.5559080545939629
43,2,0.004,4,4,4,4,4,4,2,0.0,20,32,0.0,[0.80000001 0.78888893 0.78888893 0.24444444 0.24719101],[0.5        0.85385096 0.78755254 0.5        0.5       ],[0.         0.95833337 0.7352941  1.         1.        ],[0.         0.56097561 0.71428573 0.24444444 0.24719101],[0.         0.70769231 0.72463768 0.39285714 0.3963964 ],0.7387254953384399,0.5738826662302017,0.3533793598413467,0.6282806992530823,0.4443167056210534
91,3,0.004,5,5,5,5,5,5,3,0.0,20,32,0.0,[0.75555557 0.26666668 0.76666671 0.82222223 0.24719101],[0.84799385 0.5        0.8093487  0.80314171 0.5       ],[0.8888889  1.         0.85294116 0.68181819 1.        ],[0.44444445 0.26666668 0.64444447 0.625      0.24719101],[0.59259259 0.42105263 0.73417722 0.65217391 0.3963964 ],0.8847296476364136,0.571660441160202,0.4455493211746216,0.6920968532562256,0.5592785497602576
51,2,0.007,4,5,4,5,4,5,2,0.0,20,32,0.0,[0.80000001 0.80000001 0.75555557 0.24444444 0.24719101],[0.5        0.86363626 0.7867648  0.5        0.5       ],[0.         1.         0.79411763 1.         1.        ],[0.         0.5714286  0.64285713 0.24444444 0.24719101],[0.         0.72727273 0.71052632 0.39285714 0.3963964 ],0.7588235259056091,0.5694382101297378,0.3411842375993729,0.6300802111625672,0.445410516463148
34,2,0.007,4,4,4,4,4,4,2,0.0,20,16,0.0,[0.80000001 0.26666668 0.62222224 0.75555557 0.24719101],[0.5 0.5 0.5 0.5 0.5],[0. 1. 0. 0. 1.],[0.         0.26666668 0.         0.         0.24719101],[0.         0.42105263 0.         0.         0.3963964 ],0.4,0.5383271038532257,0.10277153849601746,0.5,0.16348980559506876
11,2,0.004,5,4,5,4,5,4,2,0.0,20,32,0.0,[0.80000001 0.26666668 0.62222224 0.24444444 0.70786518],[0.5        0.5        0.5        0.5        0.81818181],[0.         1.         0.         1.         0.81818187],[0.         0.26666668 0.         0.24444444 0.45000002],[0.         0.42105263 0.         0.39285714 0.58064516],0.5636363744735717,0.5282397121191025,0.1922222286462784,0.5636363625526428,0.27891098714528256
18,2,0.007,5,5,5,5,5,5,2,0.0,20,16,0.0,[0.72222227 0.26666668 0.62222224 0.75555557 0.24719101],[0.7793209 0.5       0.5       0.5       0.5      ],[0.8888889 1.        0.        0.        1.       ],[0.41025642 0.26666668 0.         0.         0.24719101],[0.56140351 0.42105263 0.         0.         0.3963964 ],0.5777777791023254,0.522771555185318,0.18482282161712646,0.5558641791343689,0.2757705073494547
35,2,0.007,4,4,4,4,4,4,2,0.0,20,32,0.0,[0.87777781 0.26666668 0.62222224 0.24444444 0.24719101],[0.81172842 0.5        0.5        0.5        0.5       ],[0.66666669 1.         0.         1.         1.        ],[0.70588237 0.26666668 0.         0.24444444 0.24719101],[0.68571429 0.42105263 0.         0.39285714 0.3963964 ],0.7333333373069764,0.4516604393720627,0.2928369015455246,0.5623456835746765,0.37920409130935445
