,hiddenLayerOne,learnRate,hiddenLayerTwo,hiddenLayerThree,hiddenLayerFour,hiddenLayerFive,hiddenLayerSix,hiddenLayerSeven,hiddenLayerEight,dropout,epochs,batchs,regul,accuracy,AUC,recall,precision,F1,meanRec,meanAcc,meanPrec,meanAUC,meanF1
38,2,0.007,4,4,4,4,4,4,2,0.1,20,16,0.0,[0.75555557 0.84444445 0.75555557 0.81111115 0.76404494],[0.78703701 0.88162875 0.78571421 0.80046785 0.83242881],[0.66666669 0.83333337 0.82352942 0.77272731 0.9545455 ],[0.42857146 0.66666669 0.63636363 0.58620691 0.51219517],[0.52173913 0.74074074 0.71794872 0.66666667 0.66666667],0.8101604580879211,0.7861423373222352,0.5660007715225219,0.8174553275108337,0.662752384491515
82,3,0.007,5,5,5,5,5,5,3,0.0,20,16,0.0,[0.85555559 0.82222223 0.74444449 0.78888893 0.71910113],[0.87885809 0.92424244 0.78597689 0.86463904 0.84328359],[0.77777779 0.91666669 0.7352941  0.86363637 0.90909094],[0.60869569 0.6111111  0.64102566 0.54285717 0.46511626],[0.68292683 0.73333333 0.68493151 0.66666667 0.61538462],0.8404931783676147,0.7860424757003784,0.5737611770629882,0.8594000101089477,0.6766485903004447
114,3,0.007,4,5,4,5,4,5,3,0.0,20,16,0.0,[0.84444445 0.82222223 0.78888893 0.75555557 0.71910113],[0.82330251 0.8469066  0.82379204 0.5        0.78086841],[0.6111111  0.83333337 0.79411763 0.         0.86363637],[0.6111111  0.625      0.69230771 0.         0.46341464],[0.61111111 0.71428571 0.73972603 0.         0.6031746 ],0.6204396963119507,0.7860424637794494,0.4783666908740997,0.7549739122390747,0.5336594911937378
68,3,0.007,5,4,5,4,5,4,3,0.1,10,16,0.0,[0.80000001 0.84444445 0.78888893 0.78888893 0.70786518],[0.88541663 0.77020198 0.82457978 0.86263371 0.79002714],[0.77777779 0.625      0.79411763 0.86363637 0.77272731],[0.5        0.75       0.69230771 0.54285717 0.44736841],[0.60869565 0.68181818 0.73972603 0.66666667 0.56666667],0.7666518211364746,0.7860175013542176,0.5865066587924957,0.8265718460083008,0.6527146389445375
67,3,0.007,5,4,5,4,5,4,3,0.0,20,32,0.0,[0.85555559 0.82222223 0.62222224 0.85555559 0.75280899],[0.8838734  0.81755054 0.5        0.86965233 0.83446407],[0.66666669 0.70833337 0.         0.86363637 0.86363637],[0.63157892 0.6538462  0.         0.65517241 0.5       ],[0.64864865 0.68       0.         0.74509804 0.63333333],0.6204545617103576,0.7816729307174682,0.4881195068359375,0.7811080694198609,0.5414160042395337
111,3,0.004,4,4,4,4,4,4,3,0.1,20,32,0.0,[0.84444445 0.83333337 0.75555557 0.76666671 0.70786518],[0.81944442 0.89204538 0.80278361 0.78409094 0.79070562],[0.55555558 0.75       0.85294116 0.72727275 0.86363637],[0.625      0.66666669 0.63043481 0.51612902 0.45238096],[0.58823529 0.70588235 0.725      0.60377358 0.59375   ],0.7498811721801758,0.7815730571746826,0.5781222939491272,0.8178139925003052,0.6433282463928968
119,3,0.007,4,5,4,5,4,5,3,0.1,20,32,0.0,[0.75555557 0.83333337 0.68888891 0.80000001 0.8202247 ],[0.76003098 0.87657827 0.75420165 0.85327542 0.84464049],[0.72222221 0.54166669 0.7647059  0.90909094 0.81818187],[0.43333337 0.7647059  0.56521738 0.55555558 0.60000002],[0.54166667 0.63414634 0.65       0.68965517 0.69230769],0.7511735200881958,0.7796005129814148,0.5837624490261077,0.8177453637123108,0.6415551745703134
74,3,0.004,5,4,5,4,5,4,3,0.0,20,16,0.0,[0.81111115 0.87777781 0.62222224 0.84444445 0.74157304],[0.80555552 0.91319442 0.5        0.87733954 0.82869744],[0.55555558 0.83333337 0.         0.90909094 0.9545455 ],[0.52631581 0.74074078 0.         0.625      0.48837209],[0.54054054 0.78431373 0.         0.74074074 0.64615385],0.6505050778388977,0.7794257402420044,0.4760857343673706,0.7849573850631714,0.5423497705850646
102,3,0.007,4,4,4,4,4,4,3,0.1,20,16,0.0,[0.82222223 0.84444445 0.76666671 0.75555557 0.70786518],[0.73765433 0.92866158 0.78230041 0.5        0.81343281],[0.55555558 0.95833337 0.85294116 0.         1.        ],[0.55555558 0.6388889  0.64444447 0.         0.45833334],[0.55555556 0.76666667 0.73417722 0.         0.62857143],0.6733660221099853,0.7793508291244506,0.4594444572925568,0.752409827709198,0.5369941731967048
93,3,0.004,5,5,5,5,5,5,3,0.1,10,32,0.0,[0.72222227 0.84444445 0.75555557 0.78888893 0.77528089],[0.81674379 0.89046717 0.81853986 0.82987976 0.8517639 ],[0.8888889  0.95833337 0.7647059  0.77272731 0.9545455 ],[0.41025642 0.6388889  0.65000004 0.54838705 0.52500004],[0.56140351 0.76666667 0.7027027  0.64150943 0.67741935],0.8678401947021485,0.7772784233093262,0.5545064866542816,0.8414788961410522,0.6699403333884546
7,2,0.007,5,4,5,4,5,4,2,0.1,20,32,0.0,[0.84444445 0.80000001 0.74444449 0.80000001 0.69662923],[0.87422836 0.85827029 0.77179629 0.87667114 0.78222525],[0.94444448 0.91666669 0.79411763 0.90909094 0.90909094],[0.56666672 0.57894737 0.62790698 0.55555558 0.44444445],[0.70833333 0.70967742 0.7012987  0.68965517 0.59701493],0.8946821331977844,0.7771036386489868,0.5547042191028595,0.8326382637023926,0.6811959103547601
