,hiddenLayerOne,learnRate,hiddenLayerTwo,hiddenLayerThree,hiddenLayerFour,dropout,epochs,batchs,regul,accuracy,AUC,recall,precision,F1,meanRec,meanAcc,meanPrec,meanAUC,meanF1
78,3,0.007,6,4,3,0.1,20,16,0.05,[0.80000001 0.78888893 0.62222224 0.75555557 0.24719101],[0.5        0.85448235 0.50892854 0.5        0.49253732],[0.         0.91666669 0.         0.         1.        ],[0.         0.56410259 0.         0.         0.24719101],[0.        0.6984127 0.        0.        0.3963964],0.38333333730697633,0.642771553993225,0.16225872039794922,0.5711896419525146,0.21896181896181893
94,3,0.007,6,3,3,0.1,20,16,0.05,[0.80000001 0.78888893 0.62222224 0.74444449 0.24719101],[0.5        0.83112377 0.5        0.83823526 0.5       ],[0.    0.875 0.    1.    1.   ],[0.         0.56756759 0.         0.48888889 0.24719101],[0.         0.68852459 0.         0.65671642 0.3963964 ],0.575,0.6405493378639221,0.2607294976711273,0.6338718056678772,0.3483274808941557
69,3,0.007,6,4,3,0.0,10,32,0.05,[0.2        0.73333335 0.74444449 0.75555557 0.74157304],[0.5        0.5        0.78282559 0.5147059  0.49253732],[1.         0.         0.70588237 0.         0.        ],[0.2        0.         0.64864868 0.         0.        ],[0.33333333 0.         0.67605634 0.         0.        ],0.3411764740943909,0.6349812895059586,0.1697297364473343,0.5580137610435486,0.2018779342723005
125,3,0.007,4,3,3,0.1,10,32,0.05,[0.2        0.81111115 0.64444447 0.75555557 0.75280899],[0.5        0.78282833 0.70115554 0.5        0.5373134 ],[1.         0.625      0.64705884 0.         0.        ],[0.2        0.65217394 0.52380955 0.         0.        ],[0.33333333 0.63829787 0.57894737 0.         0.        ],0.45441176891326907,0.6327840358018875,0.27519669830799104,0.60425945520401,0.3101157148189623
84,3,0.007,6,3,3,0.0,10,16,0.05,[0.2        0.73333335 0.73333335 0.75555557 0.74157304],[0.5        0.5        0.81092441 0.5        0.49253732],[1.         0.         0.82352942 0.         0.        ],[0.2        0.         0.60869569 0.         0.        ],[0.33333333 0.         0.7        0.         0.        ],0.36470588445663454,0.6327590614557266,0.16173913776874543,0.5606923460960388,0.20666666666666664
20,4,0.007,6,3,4,0.0,10,16,0.05,[0.2        0.82222223 0.62222224 0.72222227 0.76404494],[0.5        0.86773992 0.5        0.84759355 0.57055634],[1.         0.95833337 0.         0.9545455  0.18181819],[0.2        0.60526317 0.         0.46666667 0.5714286 ],[0.33333333 0.74193548 0.         0.62686567 0.27586207],0.6189394116401672,0.6261423379182816,0.36867168843746184,0.6571779608726501,0.39559931156232186
36,4,0.007,4,4,4,0.0,10,16,0.05,[0.2        0.80000001 0.6111111  0.80000001 0.71910113],[0.5        0.90183079 0.49107143 0.85661769 0.75915879],[1.         0.95833337 0.         0.9545455  0.81818187],[0.2        0.57499999 0.         0.55263156 0.46153846],[0.33333333 0.71875    0.         0.7        0.59016393],0.7462121486663819,0.6260424524545669,0.3578340023756027,0.7017357409000397,0.4684494535519127
45,4,0.007,4,4,4,0.1,10,32,0.05,[0.2        0.63333333 0.69999999 0.77777779 0.80898875],[0.5        0.75063133 0.7699579  0.85294116 0.88907737],[1.         0.95833337 0.7647059  0.90909094 0.9545455 ],[0.2        0.41818184 0.5777778  0.52631581 0.56756759],[0.33333333 0.58227848 0.65822785 0.66666667 0.71186441],0.9173351407051087,0.6240199714899063,0.457968607544899,0.752521550655365,0.5904741471787169
103,3,0.007,4,4,3,0.0,20,32,0.05,[0.77777779 0.27777779 0.62222224 0.83333337 0.5955056 ],[0.85956788 0.50757575 0.50892854 0.88803482 0.73134333],[0.94444448 1.         0.         0.81818187 1.        ],[0.47222224 0.26966292 0.         0.62068963 0.37931034],[0.62962963 0.42477876 0.         0.70588235 0.55      ],0.752525269985199,0.6213233590126037,0.34837702512741087,0.6990900635719299,0.4620581487265506
101,3,0.007,4,4,3,0.0,10,32,0.05,[0.26666668 0.73333335 0.62222224 0.75555557 0.69662923],[0.5486111  0.52272725 0.50892854 0.86062837 0.75271368],[1.         0.         0.         0.86363637 0.81818187],[0.21428572 0.         0.         0.5        0.43902442],[0.35294118 0.         0.         0.63333333 0.57142857],0.5363636493682862,0.6148814141750336,0.23066202700138091,0.6387217879295349,0.31154061624649865
76,3,0.007,6,4,3,0.1,10,16,0.05,[0.2        0.73333335 0.6111111  0.75555557 0.75280899],[0.5        0.5        0.49107143 0.5        0.5       ],[1. 0. 0. 0. 0.],[0.2 0.  0.  0.  0. ],[0.33333333 0.         0.         0.         0.        ],0.2,0.610561802983284,0.04000000059604645,0.49821428656578065,0.06666666666666668
93,3,0.007,6,3,3,0.1,10,32,0.05,[0.2        0.73333335 0.6111111  0.75555557 0.74157304],[0.5        0.5        0.49107143 0.5        0.5       ],[1. 0. 0. 0. 0.],[0.2 0.  0.  0.  0. ],[0.33333333 0.         0.         0.         0.        ],0.2,0.6083146125078202,0.04000000059604645,0.49821428656578065,0.06666666666666668
77,3,0.007,6,4,3,0.1,10,32,0.05,[0.22222222 0.66666669 0.62222224 0.75555557 0.75280899],[0.5138889  0.780303   0.5        0.5        0.87415195],[1.         1.         0.         0.         0.90909094],[0.20454547 0.44444445 0.         0.         0.5       ],[0.33962264 0.61538462 0.         0.         0.64516129],0.5818181872367859,0.6038951426744461,0.22979798316955566,0.6336687684059144,0.320033709443326
109,3,0.007,4,4,3,0.1,10,32,0.05,[0.2        0.64444447 0.74444449 0.55555558 0.8202247 ],[0.5        0.78787875 0.76995796 0.69385028 0.79240167],[1.         1.         0.88235295 0.9545455  0.5       ],[0.2        0.42857146 0.6122449  0.35000002 0.6875    ],[0.33333333 0.6        0.72289157 0.51219512 0.57894737],0.8673796892166138,0.5929338485002518,0.4556632786989212,0.7088177323341369,0.5494734779941332
116,3,0.007,4,3,3,0.0,10,16,0.05,[0.2        0.73333335 0.62222224 0.62222224 0.75280899],[0.5        0.5        0.5        0.73863637 0.5       ],[1. 0. 0. 1. 0.],[0.2        0.         0.         0.39285716 0.        ],[0.33333333 0.         0.         0.56410256 0.        ],0.4,0.5861173659563065,0.11857143342494965,0.5477272748947144,0.1794871794871795
54,4,0.007,4,3,4,0.0,20,16,0.05,[0.80000001 0.26666668 0.73333335 0.80000001 0.24719101],[0.5        0.5        0.79070377 0.84425145 0.49253732],[0.         1.         0.7352941  0.86363637 1.        ],[0.         0.26666668 0.625      0.55882353 0.24719101],[0.         0.42105263 0.67567568 0.67857143 0.3963964 ],0.7197860956192017,0.5694382131099701,0.3395362436771393,0.6254985094070434,0.4343392264444896
