,hiddenLayerOne,learnRate,hiddenLayerTwo,dropout,epochs,regul,batch,accuracy,AUC,recall,precision,F1,meanAcc,meanRec,meanAUC,meanPrec,meanF1
117,5,0.004,5,0.0,20,0.05,32,[0.85555559 0.84444445 0.76666671 0.82222223 0.78651685],[0.9000771  0.91035354 0.82064068 0.91176474 0.8470149 ],[0.66666669 0.91666669 0.70588237 0.77272731 0.86363637],[0.63157892 0.64705884 0.6857143  0.60714287 0.54285717],[0.64864865 0.75862069 0.69565217 0.68       0.66666667],0.8150811672210694,0.7851158857345581,0.8779701948165893,0.6228704214096069,0.6899176357767062
118,5,0.004,5,0.0,10,0.05,64,[0.84444445 0.78888893 0.75555557 0.75555557 0.75280899],[0.93055558 0.87279046 0.82090336 0.79946524 0.86635005],[0.8888889  0.875      0.82352942 0.77272731 0.81818187],[0.5714286  0.56756759 0.63636363 0.5        0.5       ],[0.69565217 0.68852459 0.71794872 0.60714286 0.62068966],0.7794507026672364,0.835665500164032,0.8580129384994507,0.5550719618797302,0.6659915988681934
119,5,0.004,5,0.0,20,0.05,64,[0.80000001 0.87777781 0.80000001 0.80000001 0.74157304],[0.85069442 0.9204545  0.89679623 0.87767375 0.86736774],[0.66666669 0.95833337 0.7647059  0.81818187 0.81818187],[0.5        0.69696975 0.72222221 0.5625     0.48648649],[0.57142857 0.80701754 0.74285714 0.66666667 0.61016949],0.8038701772689819,0.8052139401435852,0.8825973272323608,0.5936356902122497,0.6796278832674908
120,5,0.004,5,0.05,10,0.0,32,[0.82222223 0.8888889  0.81111115 0.82222223 0.76404494],[0.85416663 0.94318181 0.83981097 0.90407753 0.89518315],[0.66666669 0.95833337 0.79411763 1.         1.        ],[0.54545456 0.71875    0.72972977 0.57894737 0.51162791],[0.6        0.82142857 0.76056338 0.73333333 0.67692308],0.8216978907585144,0.8838235378265381,0.8872840166091919,0.6169019222259522,0.7184496723933342
121,5,0.004,5,0.05,20,0.0,32,[0.82222223 0.83333337 0.77777779 0.83333337 0.7977528 ],[0.89197534 0.90909094 0.8529411  0.92312837 0.8772049 ],[0.66666669 0.83333337 0.7647059  0.9545455  0.86363637],[0.54545456 0.64516127 0.68421054 0.60000002 0.55882353],[0.6        0.72727273 0.72222222 0.73684211 0.67857143],0.8128839135169983,0.8165775656700134,0.8908681273460388,0.6067299842834473,0.6929816966659073
122,5,0.004,5,0.05,10,0.0,64,[0.76666671 0.81111115 0.73333335 0.77777779 0.76404494],[0.86998451 0.91224754 0.83009446 0.8596257  0.88772047],[0.83333331 0.91666669 0.85294116 0.86363637 0.90909094],[0.45454547 0.5945946  0.60416669 0.52777779 0.51282054],[0.58823529 0.72131148 0.70731707 0.65517241 0.6557377 ],0.7705867886543274,0.8751336932182312,0.8719345331192017,0.5387810170650482,0.6655547922818702
123,5,0.004,5,0.05,20,0.0,64,[0.84444445 0.86666667 0.75555557 0.81111115 0.7977528 ],[0.91396606 0.93118691 0.81591392 0.90441179 0.90128905],[0.77777779 0.91666669 0.7647059  0.9545455  0.9545455 ],[0.58333337 0.6875     0.65000004 0.56756759 0.55263156],[0.66666667 0.78571429 0.7027027  0.71186441 0.7       ],0.8151061296463012,0.8736482739448548,0.893353545665741,0.6082065105438232,0.7133896123726633
124,5,0.004,5,0.05,10,0.05,32,[0.80000001 0.85555559 0.74444449 0.80000001 0.74157304],[0.88580251 0.91035354 0.83272058 0.90340912 0.85685211],[0.72222221 0.95833337 0.82352942 1.         0.9545455 ],[0.5        0.65714288 0.62222224 0.55000001 0.48837209],[0.59090909 0.77966102 0.70886076 0.70967742 0.64615385],0.7883146286010743,0.8917261004447937,0.8778275728225708,0.5635474443435669,0.6870524265721198
125,5,0.004,5,0.05,20,0.05,32,[0.86666667 0.80000001 0.72222227 0.84444445 0.75280899],[0.91396606 0.8910985  0.79175413 0.91978616 0.8307327 ],[0.72222221 0.91666669 0.58823532 0.9545455  0.81818187],[0.65000004 0.57894737 0.64516127 0.61764705 0.5       ],[0.68421053 0.70967742 0.61538462 0.75       0.62068966],0.797228479385376,0.7999703168869019,0.8694675087928772,0.5983511447906494,0.6759924432455315
126,5,0.004,5,0.05,10,0.05,64,[0.81111115 0.81111115 0.72222227 0.6111111  0.77528089],[0.86419755 0.89425504 0.77074581 0.7349599  0.86499321],[0.72222221 0.95833337 0.64705884 0.81818187 0.77272731],[0.51999998 0.58974361 0.62857145 0.36734694 0.53125   ],[0.60465116 0.73015873 0.63768116 0.50704225 0.62962963],0.7461673140525817,0.7837047219276428,0.8258303046226502,0.5273823976516724,0.6218325871040948
127,5,0.004,5,0.05,20,0.05,64,[0.82222223 0.77777779 0.75555557 0.80000001 0.73033708],[0.88001543 0.91824496 0.81171215 0.87667108 0.82767981],[0.66666669 0.91666669 0.7647059  0.86363637 1.        ],[0.54545456 0.55000001 0.65000004 0.55882353 0.47826087],[0.6        0.6875     0.7027027  0.67857143 0.64705882],0.7771785378456115,0.8423351287841797,0.8628646850585937,0.5565078020095825,0.6631665909607086
