,hiddenLayerOne,learnRate,hiddenLayerTwo,hiddenLayerThree,hiddenLayerFour,hiddenLayerFive,hiddenLayerSix,hiddenLayerSeven,hiddenLayerEight,hiddenLayerNine,hiddenLayerTen,dropout,epochs,batchs,regul,accuracy,AUC,recall,precision,F1,meanRec,meanAcc,meanPrec,meanAUC,meanF1
45,3,0.004,4,4,4,4,4,4,4,4,3,0.1,10,32,0.0,[0.73333335 0.82222223 0.77777779 0.75555557 0.74157304],[0.79976857 0.91698229 0.81722683 0.5        0.82021707],[0.6111111  0.95833337 0.82352942 0.         1.        ],[0.39285716 0.60526317 0.66666669 0.         0.48888889],[0.47826087 0.74193548 0.73684211 0.         0.65671642],0.6785947799682617,0.7660923957824707,0.430735182762146,0.7708389520645141,0.5227509753219581
57,3,0.004,5,5,5,5,5,5,5,5,3,0.0,10,32,0.0,[0.71111113 0.77777779 0.78888893 0.80000001 0.73033708],[0.76427466 0.83333337 0.82064074 0.90140373 0.8164857 ],[0.72222221 0.91666669 0.82352942 0.9545455  0.90909094],[0.38235295 0.55000001 0.68292683 0.55263156 0.47619048],[0.5        0.6875     0.74666667 0.7        0.625     ],0.8652109503746033,0.7616229891777039,0.5288203656673431,0.8272276401519776,0.6518333333333334
63,3,0.004,5,5,5,5,5,5,5,5,3,0.1,20,32,0.0,[0.85555559 0.75555557 0.62222224 0.83333337 0.73033708],[0.81597221 0.83396471 0.5        0.9050802  0.78154683],[0.72222221 0.95833337 0.         0.90909094 0.90909094],[0.61904764 0.52272731 0.         0.60606062 0.47619048],[0.66666667 0.67647059 0.         0.72727273 0.625     ],0.6997474908828736,0.7594007730484009,0.4448052108287811,0.7673127889633179,0.5390819964349376
0,2,0.007,4,4,4,4,4,4,4,4,2,0.0,10,16,0.0,[0.83333337 0.82222223 0.62222224 0.75555557 0.75280899],[0.89853394 0.88478535 0.5        0.5        0.5       ],[0.72222221 0.875      0.         0.         0.        ],[0.56521738 0.61764705 0.         0.         0.        ],[0.63414634 0.72413793 0.         0.         0.        ],0.31944444179534914,0.7572284817695618,0.23657288551330566,0.6566638588905335,0.2716568544995795
60,3,0.004,5,5,5,5,5,5,5,5,3,0.1,10,16,0.0,[0.69999999 0.76666671 0.72222227 0.81111115 0.76404494],[0.74652779 0.76167929 0.80173326 0.90307492 0.83989143],[0.66666669 0.66666669 0.64705884 0.72727275 0.86363637],[0.36363637 0.55172414 0.62857145 0.5925926  0.51351351],[0.47058824 0.60377358 0.63768116 0.65306122 0.6440678 ],0.7142602682113648,0.7528090119361878,0.5300076127052307,0.8105813384056091,0.6018344001440067
53,3,0.007,5,5,5,5,5,5,5,5,3,0.1,10,32,0.0,[0.80000001 0.69999999 0.77777779 0.72222227 0.75280899],[0.75540125 0.82228535 0.84926468 0.78776741 0.81139755],[0.55555558 0.95833337 0.91176468 0.81818187 0.86363637],[0.5        0.46938774 0.64583337 0.46153846 0.5       ],[0.52631579 0.63013699 0.75609756 0.59016393 0.63333333],0.8214943766593933,0.7505618095397949,0.5153519153594971,0.8052232503890991,0.6272095209020454
46,3,0.004,4,4,4,4,4,4,4,4,3,0.1,20,16,0.0,[0.80000001 0.84444445 0.62222224 0.77777779 0.69662923],[0.5        0.84375    0.5        0.85795456 0.84294438],[0.         0.75       0.         0.72727275 0.9545455 ],[0.         0.69230771 0.         0.53333336 0.44680855],[0.         0.72       0.         0.61538462 0.60869565],0.48636364936828613,0.7482147455215454,0.33448992371559144,0.7089297890663147,0.3888160535117057
12,2,0.004,4,4,4,4,4,4,4,4,2,0.1,10,16,0.0,[0.81111115 0.73333335 0.62222224 0.82222223 0.71910113],[0.88425934 0.5        0.5        0.8619653  0.81343281],[0.77777779 0.         0.         0.77272731 1.        ],[0.51851851 0.         0.         0.60714287 0.46808514],[0.62222222 0.         0.         0.68       0.63768116],0.5101010203361511,0.7415980219841003,0.31874930262565615,0.7119314908981323,0.38798067632850247
30,2,0.004,5,5,5,5,5,5,5,5,2,0.1,20,16,0.0,[0.86666667 0.78888893 0.62222224 0.75555557 0.67415732],[0.86226845 0.85606062 0.5        0.5        0.79104477],[0.66666669 1.         0.         0.         1.        ],[0.66666669 0.55813956 0.         0.         0.43137255],[0.66666667 0.71641791 0.         0.         0.60273973],0.5333333373069763,0.7414981484413147,0.3312357604503632,0.7018747687339782,0.397164860628365
37,3,0.007,4,4,4,4,4,4,4,4,3,0.1,10,32,0.0,[0.81111115 0.67777777 0.62222224 0.77777779 0.80898875],[0.78780866 0.7638889  0.5        0.88168454 0.84430128],[0.6111111  1.         0.         0.90909094 0.68181819],[0.52380955 0.4528302  0.         0.52631581 0.59999996],[0.56410256 0.62337662 0.         0.66666667 0.63829787],0.6404040455818176,0.7395755410194397,0.4205911040306091,0.755536675453186,0.49848874529725595
44,3,0.004,4,4,4,4,4,4,4,4,3,0.1,10,16,0.0,[0.64444447 0.78888893 0.72222227 0.82222223 0.70786518],[0.65663582 0.84280306 0.79411763 0.8616311  0.81343287],[0.6111111  0.95833337 0.64705884 0.63636363 1.        ],[0.30555555 0.56097561 0.62857145 0.63636363 0.45833334],[0.40740741 0.70769231 0.63768116 0.63636364 0.62857143],0.7705733895301818,0.7371286153793335,0.5179599165916443,0.7937240958213806,0.603543187891014
13,2,0.004,4,4,4,4,4,4,4,4,2,0.1,10,32,0.0,[0.84444445 0.73333335 0.75555557 0.6111111  0.73033708],[0.88001537 0.80334604 0.79332978 0.75334221 0.91078693],[0.77777779 0.875      0.85294116 0.9545455  1.        ],[0.58333337 0.5        0.63043481 0.38181821 0.47826087],[0.66666667 0.63636364 0.725      0.54545455 0.64705882],0.8920528888702393,0.7349563121795655,0.5147694528102875,0.8281640648841858,0.644108734402852
61,3,0.004,5,5,5,5,5,5,5,5,3,0.1,10,32,0.0,[0.83333337 0.71111113 0.62222224 0.73333335 0.74157304],[0.89544749 0.81060606 0.5        0.83088231 0.78324288],[0.72222221 1.         0.         1.         0.72727275],[0.56521738 0.47999999 0.         0.47826087 0.4848485 ],[0.63414634 0.64864865 0.         0.64705882 0.58181818],0.6898989915847779,0.7283146262168885,0.4016653478145599,0.7640357494354248,0.5023343990919313
29,2,0.004,5,5,5,5,5,5,5,5,2,0.1,10,32,0.0,[0.77777779 0.73333335 0.72222227 0.76666671 0.55056179],[0.85725307 0.5        0.74921215 0.83221924 0.65094984],[0.77777779 0.         0.79411763 0.81818187 0.86363637],[0.4666667  0.         0.60000002 0.51428574 0.33928573],[0.58333333 0.         0.6835443  0.63157895 0.48717949],0.6507427334785462,0.7101123809814454,0.3840476393699646,0.7179268598556519,0.477127214335742
4,2,0.007,4,4,4,4,4,4,4,4,2,0.1,10,16,0.0,[0.83333337 0.76666671 0.37777779 0.81111115 0.69662923],[0.80671293 0.87121212 0.5        0.88402408 0.79850745],[0.6111111 1.        1.        0.9545455 1.       ],[0.57894737 0.53333336 0.37777779 0.56756759 0.44897959],[0.59459459 0.69565217 0.5483871  0.71186441 0.61971831],0.913131320476532,0.6971036493778229,0.5013211369514465,0.7720913171768189,0.6340433163841295
47,3,0.004,4,4,4,4,4,4,4,4,3,0.1,20,32,0.0,[0.80000001 0.83333337 0.81111115 0.24444444 0.75280899],[0.5        0.89867431 0.84768903 0.5        0.8063094 ],[0.         0.875      0.91176468 1.         0.86363637],[0.         0.63636363 0.68888891 0.24444444 0.5       ],[0.         0.73684211 0.78481013 0.39285714 0.63333333],0.7300802111625672,0.6883395940065384,0.41393939554691317,0.7105345487594604,0.5095685416071825
51,3,0.007,5,5,5,5,5,5,5,5,3,0.0,20,32,0.0,[0.83333337 0.81111115 0.74444449 0.78888893 0.24719101],[0.77391988 0.87026513 0.79858196 0.92012036 0.5       ],[0.66666669 0.95833337 0.79411763 1.         1.        ],[0.5714286  0.58974361 0.62790698 0.53658539 0.24719101],[0.61538462 0.73015873 0.7012987  0.6984127  0.3963964 ],0.8838235378265381,0.6849937915802002,0.5145711183547974,0.7725774645805359,0.6283302283302283
50,3,0.007,5,5,5,5,5,5,5,5,3,0.0,20,16,0.0,[0.80000001 0.83333337 0.77777779 0.75555557 0.24719101],[0.5        0.8415404  0.79227936 0.5        0.5       ],[0.         0.75       0.82352942 0.         1.        ],[0.         0.66666669 0.66666669 0.         0.24719101],[0.         0.70588235 0.73684211 0.         0.3963964 ],0.5147058844566346,0.6827715516090394,0.31610487699508666,0.6267639517784118,0.3678241709201461
59,3,0.004,5,5,5,5,5,5,5,5,3,0.0,20,32,0.0,[0.83333337 0.8888889  0.62222224 0.82222223 0.24719101],[0.89621913 0.90246212 0.5        0.80147058 0.5       ],[0.8888889  0.91666669 0.         0.72727275 1.        ],[0.55172414 0.73333335 0.         0.61538464 0.24719101],[0.68085106 0.81481481 0.         0.66666667 0.3963964 ],0.7065656661987305,0.6827715516090394,0.4295266270637512,0.7200303673744202,0.5117457883415331
38,3,0.007,4,4,4,4,4,4,4,4,3,0.1,20,16,0.0,[0.81111115 0.26666668 0.76666671 0.75555557 0.74157304],[0.88194454 0.5        0.77205878 0.5        0.82835823],[0.77777779 1.         0.79411763 0.         1.        ],[0.51851851 0.26666668 0.65853661 0.         0.48888889],[0.62222222 0.42105263 0.72       0.         0.65671642],0.71437908411026,0.6683146297931671,0.3865221381187439,0.6964723110198975,0.48399825434232346
7,2,0.007,4,4,4,4,4,4,4,4,2,0.1,20,32,0.0,[0.77777779 0.82222223 0.77777779 0.24444444 0.70786518],[0.85802472 0.8686868  0.78098732 0.5        0.80597013],[0.77777779 0.83333337 0.88235295 1.         1.        ],[0.4666667  0.625      0.65217394 0.24444444 0.45833334],[0.58333333 0.71428571 0.75       0.39285714 0.62857143],0.8986928224563598,0.6660174876451492,0.48932368457317355,0.762733793258667,0.6138095238095238
16,2,0.007,5,5,5,5,5,5,5,5,2,0.0,10,16,0.0,[0.2        0.82222223 0.77777779 0.75555557 0.76404494],[0.5        0.94886369 0.82536763 0.5        0.84396201],[1.         0.95833337 0.88235295 0.         0.9545455 ],[0.2        0.60526317 0.65217394 0.         0.51219517],[0.33333333 0.74193548 0.75       0.         0.66666667],0.7590463638305665,0.6639201074838639,0.3939264565706253,0.7236386656761169,0.49838709677419357
22,2,0.007,5,5,5,5,5,5,5,5,2,0.1,20,16,0.0,[0.80000001 0.77777779 0.72222227 0.76666671 0.24719101],[0.5        0.83491164 0.71008408 0.84558821 0.5       ],[0.         0.95833337 0.64705884 1.         1.        ],[0.         0.54761904 0.62857145 0.51162791 0.24719101],[0.         0.6969697  0.63768116 0.67692308 0.3963964 ],0.7210784435272217,0.6627715587615967,0.38700188398361207,0.67811678647995,0.48159406594189197
